cfIdx,id,size
2263,516,3/4 Ton
2264,516,1 Ton
2265,512,3/4 Ton
2266,512,1 Ton
2267,512,Class 4
2268,512,Class 5
2269,495,< 1/2 Ton
2270,495,1/2 Ton
2273,520,< 1/2 Ton
2274,520,1/2 Ton
2275,467,Class 4
2276,467,Class 5
2277,467,Class 6
2278,484,Class 4
2279,484,Class 5
2280,484,Class 6
2281,479,1/2 Ton
2283,505,3/4 Ton
2284,505,1 Ton
2285,505,Class 4
2286,505,Class 5
2287,497,3/4 Ton
2288,497,1 Ton
2289,497,Class 4
2290,497,Class 5
2309,475,< 1/2 Ton
2310,475,1/2 Ton
2311,468,< 1/2 Ton
2312,468,1/2 Ton
2313,519,1/2 Ton
2314,519,3/4 Ton
2315,519,1 Ton
2316,503,< 1/2 Ton
2317,503,1/2 Ton
2318,491,1/2 Ton
2319,491,3/4 Ton
2320,491,1 Ton
2321,517,1/2 Ton
2322,496,3/4 Ton
2323,496,1 Ton
2324,496,Class 4
2325,496,Class 5
2326,513,3/4 Ton
2327,513,1 Ton
2328,513,Class 4
2329,513,Class 5
2330,506,3/4 Ton
2331,506,1 Ton
2332,506,Class 4
2333,506,Class 5
2334,506,Class 6
2335,470,3/4 Ton
2336,470,1 Ton
2337,470,Class 4
2338,470,Class 5
2339,524,1 Ton
2340,524,Class 4
2341,524,Class 5
2342,524,Class 6
2343,527,3/4 Ton
2344,527,1 Ton
2345,527,Class 4
2346,527,Class 5
2347,527,Class 6
2348,480,3/4 Ton
2349,480,1 Ton
2350,480,Class 4
2351,480,Class 5
2352,480,Class 6
2356,522,< 1/2 Ton
2357,522,1/2 Ton
2358,469,1/2 Ton
2359,469,3/4 Ton
2360,493,1/2 Ton
2361,493,3/4 Ton
2362,472,1/2 Ton
2363,472,3/4 Ton
2364,472,1 Ton
2365,494,1/2 Ton
2366,494,3/4 Ton
2367,494,1 Ton
2368,471,1/2 Ton
2369,471,3/4 Ton
2370,471,1 Ton
2371,476,1/2 Ton
2372,476,3/4 Ton
2373,476,1 Ton
2377,489,1/2 Ton
2378,489,3/4 Ton
2379,489,1 Ton
2380,489,Class 4
2381,478,3/4 Ton
2382,478,1 Ton
2383,490,3/4 Ton
2384,490,1 Ton
2385,490,Class 4
2386,490,Class 5
2387,514,3/4 Ton
2388,514,1 Ton
2389,514,Class 4
2390,514,Class 5
2391,528,< 1/2 Ton
2392,528,1/2 Ton
2393,474,< 1/2 Ton
2394,474,1/2 Ton
2395,492,3/4 Ton
2396,492,1 Ton
2397,492,Class 4
2398,492,Class 5
2399,526,3/4 Ton
2400,526,1 Ton
2401,526,Class 4
2402,526,Class 5
2403,473,3/4 Ton
2404,473,1 Ton
2405,499,3/4 Ton
2406,499,1 Ton
2407,499,Class 4
2408,499,Class 5
2409,477,3/4 Ton
2410,477,1 Ton
2411,477,Class 4
2412,477,Class 5
2413,523,3/4 Ton
2414,523,1 Ton
2415,487,3/4 Ton
2416,487,1 Ton
2417,487,Class 4
2418,487,Class 5
2419,509,3/4 Ton
2420,509,1 Ton
2421,509,Class 4
2422,509,Class 5
2423,488,3/4 Ton
2424,488,1 Ton
2425,488,Class 4
2426,488,Class 5
2427,510,3/4 Ton
2428,510,1 Ton
2429,510,Class 4
2430,510,Class 5
2431,502,3/4 Ton
2432,502,1 Ton
2433,501,3/4 Ton
2434,501,1 Ton
2435,501,Class 4
2436,501,Class 5
2437,511,3/4 Ton
2438,511,1 Ton
2439,511,Class 4
2440,511,Class 5
2441,529,3/4 Ton
2442,529,1 Ton
2443,500,3/4 Ton
2444,500,1 Ton
2445,500,Class 4
2446,500,Class 5
2447,483,3/4 Ton
2448,483,1 Ton
2449,483,Class 4
2450,483,Class 5
2451,377,1 Ton
2452,377,Class 4
2453,377,Class 5
2454,377,Class 6
2455,367,3/4 Ton
2456,367,1 Ton
2457,367,Class 4
2458,367,Class 5
2459,368,3/4 Ton
2460,368,1 Ton
2461,368,Class 4
2462,368,Class 5
2463,369,3/4 Ton
2464,369,1 Ton
2465,369,Class 4
2466,369,Class 5
2467,370,3/4 Ton
2468,370,1 Ton
2469,370,Class 4
2470,370,Class 5
2471,371,3/4 Ton
2472,371,1 Ton
2473,371,Class 4
2474,371,Class 5
2475,372,3/4 Ton
2476,372,1 Ton
2477,372,Class 4
2478,372,Class 5
2489,531,< 1/2 Ton
2490,531,1/2 Ton
2503,534,< 1/2 Ton
2504,534,1/2 Ton
2505,533,< 1/2 Ton
2506,533,1/2 Ton
2507,532,< 1/2 Ton
2508,532,1/2 Ton
2513,508,3/4 Ton
2514,508,1 Ton
2515,508,Class 4
2516,508,Class 5
