ID,MFG ID,Title,Current Model,Plow Type,Blade Width Expanded,Blade Width Retracted,Blade Width Scoop,Angled Width Expanded,Angled Width Retracted,Angled Width Scoop,Blade Height Min,Blade Height Max,Blade Gauge,Blade Thickness,Weight,Blade Material,Plowshoes,Blade Cutting Edge Thickness,Blade Cutting Edge Height,Wing Cutting Edge Thickness,Wing Cutting Edge Height,Vertical Ribs,Diagonal Ribs,Trip Feature,Trip Springs,Trip Spring Type,Angle Cylinder Diameter,Angle Cylinder Length,Angle Cylinder Type,Lift Cylinder Diameter,Lift Cylinder Length,Lift Cylinder Type,Controls Style,Controls Type,Mount,Snow Deflector,Snow Catcher,Warranty,Notes,Image,Down Pressure,Paint,Primer,Closed Loop Electric,Led Lights,Price,Moving Capacity,SPN Rank,Youtube Video ID,PDF
104,13,8802,TRUE,straight,96,0,0,83,0,0,30,30,12,,800,steel,,0.375,6,,,10,2,full blade,4,,,,,,,,both,wired,,,,2 years,,default_hiniker_straight-plow.png,No,Powder Coat,No,No,No,3,3,52,,
107,13,8902,TRUE,straight,108,0,0,93,0,0,30,30,,0.500,835,steel,,0.375,6,,,10,2,full blade,4,,,,,,,,both,wired,,,,2 years,,default_hiniker_straight-plow.png,No,Powder Coat,No,No,No,3,3,52,,
108,13,7802,TRUE,straight,96,0,0,83,0,0,30,30,12,0.500,733,steel,,0.375,6,,,7,2,trip edge,4,,,,,,,,both,wired,,,,2 years,,default_hiniker_straight-plow.png,No,Powder Coat,No,No,No,3,3,52,,
110,13,7902,TRUE,straight,108,0,0,93,0,0,30,30,12,0.500,767,steel,,0.375,6,,,7,2,trip edge,4,,,,,,,,both,wired,,,,2 years,,default_hiniker_straight-plow.png,No,Powder Coat,No,No,No,3,3,52,,
111,13,10331,TRUE,straight,120,0,0,103,0,0,32,32,12,0.500,894,steel,,0.500,8,,,7,2,trip edge,6,,,,,,,,both,wired,,,,2 years,,default_hiniker_straight-plow.png,No,Powder Coat,No,No,No,3,3,54,,
112,13,10332,TRUE,straight,120,0,0,103,0,0,32,32,12,0.500,938,steel,,0.500,8,,,7,2,trip edge,6,,,,,,,,both,wired,,,,2 years,,default_hiniker_straight-plow.png,No,Powder Coat,No,No,No,3,3,54,,
113,13,2752,TRUE,straight,90,0,0,77,0,0,30,30,12,0.500,603,steel,,0.375,6,,,4,2,trip edge,2,,,,,,,,both,wired,,,,2 years,,default_hiniker_straight-plow.png,No,Powder Coat,No,No,No,3,3,52,,
114,13,2802,TRUE,straight,96,0,0,82,0,0,30,30,12,0.500,614,steel,,0.375,6,,,4,2,trip edge,2,,,,,,,,both,wired,,,,2 years,,default_hiniker_straight-plow.png,No,Powder Coat,No,No,No,3,3,52,,
115,13,2852,TRUE,straight,102,0,0,87,0,0,30,30,12,0.500,649,steel,,0.375,6,,,4,2,trip edge,4,,,,,,,,both,wired,,,,2 years,,default_hiniker_straight-plow.png,No,Powder Coat,No,No,No,3,3,52,,
116,13,700,TRUE,straight,84,0,0,0,0,0,26,26,12,0.500,449,steel,,0.375,6,,,6,2,trip edge,2,,,,,,,,both,wired,,,,2 years,,default_hiniker_straight-plow.png,No,Powder Coat,No,No,No,3,2,48,,
